Farbwert;Vordergrund_Index;Vordergrund_Name;Vordergrund_Hex;Hintergrund_Index;Hintergrund_Name;Hintergrund_Hex;Beschreibung
167;7;Hellgrau;#AAAAAA;10;Hellgruen;#55FF55;Hellgrau auf Hellgruen
168;8;Dunkelgrau;#555555;10;Hellgruen;#55FF55;Dunkelgrau auf Hellgruen
169;9;Hellblau;#5555FF;10;Hellgruen;#55FF55;Hellblau auf Hellgruen
170;10;Hellgruen;#55FF55;10;Hellgruen;#55FF55;Hellgruen auf Hellgruen
171;11;Hellcyan;#55FFFF;10;Hellgruen;#55FF55;Hellcyan auf Hellgruen
172;12;Hellrot;#FF5555;10;Hellgruen;#55FF55;Hellrot auf Hellgruen
173;13;Hellmagenta;#FF55FF;10;Hellgruen;#55FF55;Hellmagenta auf Hellgruen
174;14;Gelb;#FFFF55;10;Hellgruen;#55FF55;Gelb auf Hellgruen
175;15;Weiss;#FFFFFF;10;Hellgruen;#55FF55;Weiss auf Hellgruen
176;0;Schwarz;#000000;11;Hellcyan;#55FFFF;Schwarz auf Hellcyan
177;1;Blau;#0000AA;11;Hellcyan;#55FFFF;Blau auf Hellcyan
178;2;Gruen;#00AA00;11;Hellcyan;#55FFFF;Gruen auf Hellcyan
179;3;Cyan;#00AAAA;11;Hellcyan;#55FFFF;Cyan auf Hellcyan
180;4;Rot;#AA0000;11;Hellcyan;#55FFFF;Rot auf Hellcyan
181;5;Magenta;#AA00AA;11;Hellcyan;#55FFFF;Magenta auf Hellcyan
182;6;Braun;#AA5500;11;Hellcyan;#55FFFF;Braun auf Hellcyan
183;7;Hellgrau;#AAAAAA;11;Hellcyan;#55FFFF;Hellgrau auf Hellcyan
184;8;Dunkelgrau;#555555;11;Hellcyan;#55FFFF;Dunkelgrau auf Hellcyan
185;9;Hellblau;#5555FF;11;Hellcyan;#55FFFF;Hellblau auf Hellcyan
186;10;Hellgruen;#55FF55;11;Hellcyan;#55FFFF;Hellgruen auf Hellcyan
187;11;Hellcyan;#55FFFF;11;Hellcyan;#55FFFF;Hellcyan auf Hellcyan
188;12;Hellrot;#FF5555;11;Hellcyan;#55FFFF;Hellrot auf Hellcyan
189;13;Hellmagenta;#FF55FF;11;Hellcyan;#55FFFF;Hellmagenta auf Hellcyan
190;14;Gelb;#FFFF55;11;Hellcyan;#55FFFF;Gelb auf Hellcyan
191;15;Weiss;#FFFFFF;11;Hellcyan;#55FFFF;Weiss auf Hellcyan
192;0;Schwarz;#000000;12;Hellrot;#FF5555;Schwarz auf Hellrot
193;1;Blau;#0000AA;12;Hellrot;#FF5555;Blau auf Hellrot
194;2;Gruen;#00AA00;12;Hellrot;#FF5555;Gruen auf Hellrot
195;3;Cyan;#00AAAA;12;Hellrot;#FF5555;Cyan auf Hellrot
196;4;Rot;#AA0000;12;Hellrot;#FF5555;Rot auf Hellrot
197;5;Magenta;#AA00AA;12;Hellrot;#FF5555;Magenta auf Hellrot
198;6;Braun;#AA5500;12;Hellrot;#FF5555;Braun auf Hellrot
199;7;Hellgrau;#AAAAAA;12;Hellrot;#FF5555;Hellgrau auf Hellrot
200;8;Dunkelgrau;#555555;12;Hellrot;#FF5555;Dunkelgrau auf Hellrot
201;9;Hellblau;#5555FF;12;Hellrot;#FF5555;Hellblau auf Hellrot
202;10;Hellgruen;#55FF55;12;Hellrot;#FF5555;Hellgruen auf Hellrot
203;11;Hellcyan;#55FFFF;12;Hellrot;#FF5555;Hellcyan auf Hellrot
204;12;Hellrot;#FF5555;12;Hellrot;#FF5555;Hellrot auf Hellrot
205;13;Hellmagenta;#FF55FF;12;Hellrot;#FF5555;Hellmagenta auf Hellrot
206;14;Gelb;#FFFF55;12;Hellrot;#FF5555;Gelb auf Hellrot
207;15;Weiss;#FFFFFF;12;Hellrot;#FF5555;Weiss auf Hellrot
208;0;Schwarz;#000000;13;Hellmagenta;#FF55FF;Schwarz auf Hellmagenta
209;1;Blau;#0000AA;13;Hellmagenta;#FF55FF;Blau auf Hellmagenta
210;2;Gruen;#00AA00;13;Hellmagenta;#FF55FF;Gruen auf Hellmagenta
211;3;Cyan;#00AAAA;13;Hellmagenta;#FF55FF;Cyan auf Hellmagenta
212;4;Rot;#AA0000;13;Hellmagenta;#FF55FF;Rot auf Hellmagenta
213;5;Magenta;#AA00AA;13;Hellmagenta;#FF55FF;Magenta auf Hellmagenta
214;6;Braun;#AA5500;13;Hellmagenta;#FF55FF;Braun auf Hellmagenta
215;7;Hellgrau;#AAAAAA;13;Hellmagenta;#FF55FF;Hellgrau auf Hellmagenta
216;8;Dunkelgrau;#555555;13;Hellmagenta;#FF55FF;Dunkelgrau auf Hellmagenta
217;9;Hellblau;#5555FF;13;Hellmagenta;#FF55FF;Hellblau auf Hellmagenta
218;10;Hellgruen;#55FF55;13;Hellmagenta;#FF55FF;Hellgruen auf Hellmagenta
219;11;Hellcyan;#55FFFF;13;Hellmagenta;#FF55FF;Hellcyan auf Hellmagenta
220;12;Hellrot;#FF5555;13;Hellmagenta;#FF55FF;Hellrot auf Hellmagenta
